number,title,desc,level
1,เป็นดาวอาทิตย์ดาวพลังความเชื่อมั่น,เป็นดาวที่ทรงพลังมีอานุภาพมาก มีปฏิภาณกล้าหาญ มีความคิดดี มีชื่อเสียงด้านผู้นำ มุมานะ ทะยาน ชอบเที่ยวไปทุกที่ ชอบผจญภัย มีคนนับถือมาก,0
2,เป็นดาวจันทร์ดาวพลังแห่งจินตนาการ,เป็นช่างฝัน มีอารมณ์ศิลปิน มองโลกในแง่ดี แก้ไขปัญหาได้ดี เป็นคนเอื้ออาทรต่อผู้อื่น,0
3,เป็นดาวอังคารดาวพลังแห่งความกล้าหาญชาญชัย,รักอิสระแบบไม่มีแก่นสาร ชอบใฝ่หาความรู้ ชอบเรียนสูงๆ คนพูดจาแบบขวานผ่าซาก รักความยุติธรรม ใจกว้าง ระวังเรื่องเจ็บป่วยจากระบบประสาท ทำงานหนักมากเกินไป,0
4,เป็นดาวพุธพลังแห่งดาวสติปัญญา,เป็นคนฉลาดมีสติปัญญาไหวพริบดีมาก รู้ทันคน ฉลาดในการวางตัวในที่ทุกสถาน ชอบเดินทางไกล บางครั้งเหมือนขาดเพื่อนแท้ แต่เพราะความฉลาดของตนเองจึงประสบความสำเร็จในชีวิตได้,0
5,เป็นดาวพลังแห่งปัญญาปัญญาทางธรรมะ,มีความรู้ดี มีปัญญา เป็นคนน่าเชื่อถือและน่าเลื่อมใสศรัทธาของคนที่พบเห็น ทำการงานใดๆ มักราบรื่น มีคุณธรรม จิตใจดีมีเมตตาใฝ่ไปในทางธรรม,0
6,ดาวแห่งศิลปะวิทยาการ,มีความสุขสบาย มีจินตนาการ ชอบศิลปะ ชอบอิสระ มีโลกส่วนตัว ไม่เบียดเบียนใคร จิตใจดีมีเมตตา ผู้คนรักใคร่ มีเสน่ห์ มีตำแหน่งหน้าที่การงานดี ร่ำรวยด้วยทรัพย์สินเงินทอง,0
7,ดาวเสาร์ดาวพลังแห่งทุกข์โศก,เป็นคนรักอิสระและมีความคิดเป็นของตนเองอย่างเด่นชัด ไม่ชอบตามแบบใคร เป็นคนรักงานศิลปะ นักเขียน นักวาด นักกวี มีความพิเศษในการแก้ไขปัญหา เป็นคนใจบุญศุลทาน,1
8,ดาวราหูพลังแห่งความลุ่มหลงมัวเมา,เป็นคนพูดน้อย ขี้อาย ชอบปลีกตัวอยู่ตามลำพัง ไม่ใคร่คบค้าสมาคมกับใครง่าย ตอนเป็นเด็กสุขภาพไม่แข็งแรง ป่วยบ่อย โตขึ้นร่างกายจะแข็งแรง อายุยืน เป็นคนมีอารมณ์ขันแบบลึก ไม่ค่อยมีอารมณ์ขัน มาดขรึมๆ ชอบเอาความคิดของคนอื่นมาลบล้างความคิดของตนเอง มีระเบียบวินัย เฉลียวฉลาด แต่ภายในจิตใจแล้วจะเดียวดาย ต้องการความรัก ความอบอุ่น ไม่ต่างอะไรกับเด็ก สุขภาพ มักมีปัญหาในเรื่องตับ ถุงน้ำดี ระบบขับถ่าย มักมีอาการปวดศรีษะ โลหิตเป็นพิษ โรคเจ็บปวดตามข้อ,1
9,พลังดาวเกตุพลังแห่งความลึกลับ,คล้ายเป็นคนหยิ่งยโส แต่ลึกเป็นคนขาดความเชื่อมั่นในตนเองมากๆ เป็นคนที่มีความตั้งใจจริง มักตัดสินใจอะไรด้วยอารมณ์ชั่ววูบและต้องมานั่งเสียใจกับการตัดสินใจในภายหลัง เป็นคนปากกับใจตรงกัน อารมณ์ร้อน โกรธง่ายหายเร็ว ทำคุณคนไม่ขึ้น ปิดทองหลังพระ มักพบกับความตรงกันข้าม ความไม่จริงใจ ความหลอกลวง,1
10,พลังแห่งอุปสรรค,เป็นคนมีความมั่นใจในตัวเองสูง มีความทะเยอทะยานดี ชอบของแปลกใหม่ ไม่ชอบซ้ำแบบใคร เป็นคนถือเกียรติ ไม่ชอบอยู่ใต้บังคับบัญชาของใคร ไม่ค่อยนุ่มนวล กล้าได้กล้าเสีย ชีวิตมักมีอุปสรรค จับงานอะไรมักจะเจอคู่แข่ง มีคนปองร้าย บริวารมักให้โทษ เป็นคนอาภัพ มีศัตรูรอบด้าน ชีวิตมักจะมีเรื่องระทมขมขื่นแอบแฝงอยู่ มีโรคภัยไข้เจ็บเบียดเบียนอย่างเรื้อรัง ระวังโรคหัวใจ มีภาระหนี้สิน มีศัตรูคอยกลั่นแกล้ง ชีวิตก็มีประสบความสำเร็จอยู่บ้าง คือสำเร็จอย่างแหวกแนวไม่เหมือนใคร แต่ถ้าเวลาดวงตกก็จะสูญสิ้นในพริบตา,1
